track_name,album,album_release,artist,popularity,genres,playlist,duration_sec
Put On,The Recession,01-01-2008,Jeezy,68,rap,The Sound of Southern Hip Hop,321.293
It's Goin' Down (feat. Nitti),New Joc City (Explicit Content U.S. Version),06-06-2006,Yung Joc,65,rap,The Sound of Southern Hip Hop,241.84
Thug,Boss Of All Bosses,24-03-2009,Slim Thug,52,rap,The Sound of Southern Hip Hop,230.707
"U.O.E.N.O. (feat. Rick Ross, Future)",Gift Of Gab 2 (Deluxe Edition),05-03-2013,Rocko,56,rap,The Sound of Southern Hip Hop,260.276
We Ball,We Ball,27-02-2019,Ace Hood,66,rap,The Sound of Southern Hip Hop,200.377
CheezNDope (feat. Young Dolph & Key Glock),CheezNDope (feat. Young Dolph & Key Glock),12-07-2019,Project Pat,51,rap,The Sound of Southern Hip Hop,158.496
Whatever You Like,Paper Trail,08-09-2008,T.I.,74,rap,The Sound of Southern Hip Hop,249.53299999989997
Independent (feat. Lil' Boosie and Lil' Phat),Savage Life 2 (Explicit Version),25-02-2008,Webbie,55,rap,The Sound of Southern Hip Hop,250.02700000000002
Vica Versa,Face Off,01-01-2001,Pastor Troy,47,rap,The Sound of Southern Hip Hop,263.44
Stay Fly - Explicit Album Version,Most Known Unknown (Explicit),27-09-2005,Three 6 Mafia,60,rap,The Sound of Southern Hip Hop,236.6
In My Pocket,Pimp C Presents: Ghetto Stories,01-01-2003,Pimp C,49,rap,The Sound of Southern Hip Hop,259.733
Sittin' Sidewayz (feat. Big Pokey),The Peoples Champ,19-07-2005,Paul Wall,59,rap,The Sound of Southern Hip Hop,228.93299999989998
One Day,Ridin' Dirty,30-07-1996,UGK,51,rap,The Sound of Southern Hip Hop,324.173
"Shell Shocked (feat. Kill The Noise & Madsonik) - From ""Teenage Mutant Ninja Turtles""","Shell Shocked (feat. Kill The Noise & Madsonik) [From ""Teenage Mutant Ninja Turtles""]",22-07-2014,Juicy J,66,rap,The Sound of Southern Hip Hop,206.567
Ayy Ladies,From Day 1,28-05-2012,Travis Porter,66,rap,The Sound of Southern Hip Hop,211.293
Hands In The Air,2 Fast 2 Furious (Soundtrack),01-01-2003,8Ball,47,rap,The Sound of Southern Hip Hop,252.30700000000002
Bling Bling,Chopper City In The Ghetto,20-04-1999,B.G.,47,rap,The Sound of Southern Hip Hop,312.95999999990005
Hustlin',Port Of Miami,01-01-2006,Rick Ross,67,rap,The Sound of Southern Hip Hop,254.09300000000002
Knuck If You Buck (feat. Lil' Scrappy),Crime Mob (U.S. PA Version),13-07-2004,Crime Mob,60,rap,The Sound of Southern Hip Hop,205.12
All Work,Back at Burnie’s,20-12-2019,Curren$y,56,rap,The Sound of Southern Hip Hop,150.04699999990007
"Lean Wit It, Rock Wit It",On Top Of Our Game,01-01-2006,Dem Franchize Boyz,60,rap,The Sound of Southern Hip Hop,229.813
Band Plays On,No Filter,16-07-2013,Lil Wyte,59,rap,The Sound of Southern Hip Hop,221.053
Sunshine (feat. Lea) - Explicit Album Version,U Gotta Feel Me,30-03-2004,Lil' Flip,60,rap,The Sound of Southern Hip Hop,225.17300000000003
Some Cut,Welcome to Trillville Usa,24-02-2004,Trillville,50,rap,The Sound of Southern Hip Hop,283.4549999999
So What,Light Poles And Pine Trees,01-01-2006,Field Mob,52,rap,The Sound of Southern Hip Hop,216.0
Walk It Out,Beat'n Down Yo Block,03-10-2006,Unk,55,rap,The Sound of Southern Hip Hop,173.04000000000005
Right Thurr,Jackpot,01-01-2003,Chingy,67,rap,The Sound of Southern Hip Hop,250.747
They Know (Dey Know),They Know [Dey Know],04-12-2007,Shawty Lo,48,rap,The Sound of Southern Hip Hop,198.093
Make tha Trap Say Aye (feat. Gucci Mane),The Otha Side of the Trap,27-01-2009,OJ Da Juiceman,45,rap,The Sound of Southern Hip Hop,258.747
It's A Vibe,Pretty Girls Like Trap Music,16-06-2017,2 Chainz,74,rap,The Sound of Southern Hip Hop,210.2
You Don't Want Drama,Living Legends,04-10-2005,8Ball & MJG,50,rap,The Sound of Southern Hip Hop,273.973
Addiction (feat. Lil Wayne & Saweetie),K.R.I.T. IZ HERE,12-07-2019,Big K.R.I.T.,58,rap,The Sound of Southern Hip Hop,169.9439999999
Halle Berry (She's Fine),Unleashed,18-12-2009,Hurricane Chris,48,rap,The Sound of Southern Hip Hop,281.48
Lottery (Renegade),Wayy 2 Kritical,21-06-2019,K CAMP,79,rap,The Sound of Southern Hip Hop,170.947
Betcha Can't Do It Like Me,Down For Life,08-11-2005,D4L,42,rap,The Sound of Southern Hip Hop,220.467
Mo Reala,Trapholizay,25-05-2018,Zaytoven,57,rap,The Sound of Southern Hip Hop,278.187
White Girl,"Young Jeezy Presents U.S.D.A.: ""Cold Summer"" The Authorized Mixtape",01-01-2007,U.S.D.A.,48,rap,The Sound of Southern Hip Hop,235.4
I'm a King,25 To Life,23-08-2005,P$C,47,rap,The Sound of Southern Hip Hop,212.8
Smile,Greatest Hits,01-01-2010,Scarface,60,rap,The Sound of Southern Hip Hop,300.6
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Grateful,22-06-2017,DJ Khaled,76,rap,The Sound of Southern Hip Hop,288.6000000000001
Water on Water on Water,Dum and Dummer,26-07-2019,Young Dolph,67,rap,The Sound of Southern Hip Hop,223.52
"Flex (Ooh, Ooh, Ooh)","Flex (Ooh, Ooh, Ooh)",10-02-2015,Rich Homie Quan,63,rap,The Sound of Southern Hip Hop,176.67500000000004
Do U?,Pimpin Ain't Dead,15-08-2013,Do Or Die,54,rap,The Sound of Southern Hip Hop,251.96
No Games,Hard Work,01-01-2006,Soulja Boyz,10,rap,The Sound of Southern Hip Hop,239.1069999999
Suga Suga,Tha Smokin' Nephew,01-01-2003,Baby Bash,72,rap,The Sound of Southern Hip Hop,239.02700000000002
Real Big,The Mind Of Mannie Fresh,01-01-2004,Mannie Fresh,47,rap,The Sound of Southern Hip Hop,228.827
Big Boy Diamonds (feat. Kodak Black & London on Da Track),Woptober II,18-10-2019,Gucci Mane,75,rap,The Sound of Southern Hip Hop,151.482
Dark Angel (feat. Kevin Gates),I Am King,25-11-2013,Trae Tha Truth,49,rap,The Sound of Southern Hip Hop,267.233
Alive (with Offset & 2 Chainz),Alive (with Offset & 2 Chainz),26-01-2018,Lil Jon,65,rap,The Sound of Southern Hip Hop,235.89700000000002
Da Baddest (feat. Trey Songz),My Turn To Eat,30-09-2008,Big Kuntry King,33,rap,The Sound of Southern Hip Hop,232.013
That Girl,No More Glory,18-11-1997,MJG,32,rap,The Sound of Southern Hip Hop,277.68
Jugg King,Jugg King,13-07-2017,Young Scooter,54,rap,The Sound of Southern Hip Hop,209.5799999999
Not Myself,Street Gossip,01-10-2007,Foxx,36,rap,The Sound of Southern Hip Hop,269.37299999999993
23,23,01-01-2013,Mike WiLL Made-It,68,rap,The Sound of Southern Hip Hop,252.52000000000004
Trouble On My Mind,Fear Of God II: Let Us Pray,08-11-2011,Pusha T,64,rap,The Sound of Southern Hip Hop,212.50700000000003
Down For My N's,Best Of C-Murder,01-01-2005,C-Murder,38,rap,The Sound of Southern Hip Hop,221.73300000000003
"Pop, Lock & Drop It - Video Edit",Notebook Paper,2006,Huey,55,rap,The Sound of Southern Hip Hop,261.0270000000001
Tipsy - Club Mix,Hood Hop,2004,J-Kwon,62,rap,The Sound of Southern Hip Hop,243.22700000000003
Chase The Money,Practice Makes Paper,26-07-2019,E-40,63,rap,The Sound of Southern Hip Hop,284.439
Krispy - Dirty,Due Season,01-01-2007,Kia Shine,35,rap,The Sound of Southern Hip Hop,267.7069999999
Feel It In The Air,The B.Coming,01-01-2005,Beanie Sigel,51,rap,The Sound of Southern Hip Hop,246.16
Big Shot (feat. Mustard),Big Shot (feat. Mustard),25-10-2019,O.T. Genasis,65,rap,The Sound of Southern Hip Hop,143.333
I'ma Ride (feat. Birdman & Young Thug),I Am Juugman,09-12-2015,Yung Ralph,37,rap,The Sound of Southern Hip Hop,259.798
I Like Dem Girlz,Put Yo Hood Up,22-05-2001,Jazzy Pha,22,rap,The Sound of Southern Hip Hop,267.1329999999
Oh Boy,Come Home With Me,01-01-2002,Cam’ron,65,rap,The Sound of Southern Hip Hop,204.707
Summertime (feat. August Alsina),Been Waiting It's My Time,11-03-2014,Jody Breeze,32,rap,The Sound of Southern Hip Hop,172.99999999990004
Ain't I - main voc up,Ain't I,01-01-2008,Yung L.A.,48,rap,The Sound of Southern Hip Hop,252.09300000000002
Duffle Bag Boy,Supply & Demand,30-10-2007,Playaz Circle,32,rap,The Sound of Southern Hip Hop,258.273
Lotus Flower Bomb (feat. Miguel),Ambition,28-10-2011,Wale,67,rap,The Sound of Southern Hip Hop,213.253
Cupid Shuffle,Time For A Change,11-09-2007,Cupid,60,rap,Southern Soul BBQ Mix,231.36
Hole In the Wall,Material Things,19-10-1999,Mel Waiters,42,rap,Southern Soul BBQ Mix,253.17300000000003
I Found Love (On A Lonely Highway),Powerhouse,20-02-2001,Jeff Floyd,39,rap,Southern Soul BBQ Mix,453.533
My Sidepiece (feat. Pokey & Major Clark Jr.),Love On the Bayou,02-07-2014,The Louisiana Blues Brothas,0,rap,Southern Soul BBQ Mix,281.00000000000006
Why Me?,Why Me?,01-03-2005,Reggie P,0,rap,Southern Soul BBQ Mix,214.12
Slip Away,This Is Clarence Carter,1968,Clarence Carter,53,rap,Southern Soul BBQ Mix,153.2979999999
Lacee's Groove,Lacee's Groove,18-05-2009,Lacee,32,rap,Southern Soul BBQ Mix,247.2529999999
Try Me,Undisputed the album(his latest),01-01-2007,T.K. Soul,1,rap,Southern Soul BBQ Mix,305.987
Sweet Home Alabama,Second Helping,15-04-1974,Lynyrd Skynyrd,81,rap,Southern Soul BBQ Mix,283.8
Fire,Bruce Billups Southern Soul Mix (Re-Loaded),25-04-2010,Lebrado,34,rap,Southern Soul BBQ Mix,219.493
Got My Whiskey,Woman In Need,14-10-1997,Mel Waiters,43,rap,Southern Soul BBQ Mix,228.73299999990004
Lock My Door,Keepin It Real,01-07-2008,Jeff Floyd,30,rap,Southern Soul BBQ Mix,353.54699999999997
From the Back,Another level,01-01-2009,LJ Echols,31,rap,Southern Soul BBQ Mix,212.5469999999
Party Like We Use to Do,"Classic Soul, Vol. 1",10-01-2006,Willie Clayton,35,rap,Southern Soul BBQ Mix,355.6000000000001
Cornbread & Greens (feat. Big Pokey),Dance Party King,31-08-2016,Cupid,28,rap,Southern Soul BBQ Mix,254.171
Don't Make Me Beg,"""Forever King""",21-04-2011,Tucka,37,rap,Southern Soul BBQ Mix,307.0669999999
Mr Sexy Man,Mr. Sexy Man: The Album,01-05-2017,Nellie Tiger Travis,37,rap,Southern Soul BBQ Mix,250.39000000000007
Superstition - Single Version,The Definitive Collection,2002,Stevie Wonder,6,rap,Southern Soul BBQ Mix,245.493
Sweet Soul Music,Rhino Hi-Five: Arthur Conley,19-04-2005,Arthur Conley,60,rap,Southern Soul BBQ Mix,141.06699999999998
Brown Eyed Girl,Blowin' Your Mind!,1967-09,Van Morrison,79,rap,Southern Soul BBQ Mix,183.30699999990009
Friday,The Best of Sir Charles Jones - For Your Love,10-01-2008,Sir Charles Jones,42,rap,Southern Soul BBQ Mix,241.12
Stand up in It,Stand up in It,01-01-2004,Theodis Ealey,41,rap,Southern Soul BBQ Mix,375.73299999999995
Smaller the Club,A Nite Out,20-09-2003,A Nite Out,30,rap,Southern Soul BBQ Mix,281.78699999990005
Party Like Back in the Day,The Hit Maker: 10 Years of Tk Soul,23-10-2012,T.K. Soul,38,rap,Southern Soul BBQ Mix,345.444
Last Two Dollars,Good Love!,25-02-1997,Johnnie Taylor,42,rap,Southern Soul BBQ Mix,319.093
Sure Wasn't Me,Relaxin' With Tyrone,26-09-2000,Tyrone Davis,39,rap,Southern Soul BBQ Mix,410.4
Swing Out Song,Material Things,19-10-1999,Mel Waiters,30,rap,Southern Soul BBQ Mix,293.267
"I'm Trapped, Pt. 1",House of Love,1995,Carl Sims,38,rap,Southern Soul BBQ Mix,461.9460000000001
Cheating In The Next Room,Down Home,18-11-1981,Z.Z. Hill,35,rap,Southern Soul BBQ Mix,216.37299999990003
Work It Out,Love Rehab,05-11-2009,Tucka,38,rap,Southern Soul BBQ Mix,325.2529999999
Let's Straighten It Out,I'll Do Anything For You,03-10-1983,Latimore,39,rap,Southern Soul BBQ Mix,331.9329999999
Is There Anybody Lonely,The Best of Sir Charles Jones - For Your Love,10-01-2008,Sir Charles Jones,38,rap,Southern Soul BBQ Mix,279.507
If You Dont Want Me,The Hit Maker: 10 Years of Tk Soul,23-10-2012,T.K. Soul,36,rap,Southern Soul BBQ Mix,257.516
Soul Heaven,Gotta Get the Groove Back,02-11-1999,Johnnie Taylor,40,rap,Southern Soul BBQ Mix,292.62700000000007
I'm Missin' You Babe,Try Me,01-01-2005,Lebrado,35,rap,Southern Soul BBQ Mix,278.68
I Gotta Clean Up,Candy Licker: The Sex & Soul Of Marvin Sease,1994,Marvin Sease,32,rap,Southern Soul BBQ Mix,399.05299999999994
They Call Me Pokey (Remix) [feat. Tucka & Tyree Neal],Josephine Son Pokey,04-07-2013,Pokey,0,rap,Southern Soul BBQ Mix,310.7139999999
Two Way Love Affair,Somebody's Cuttin' My Cake,17-07-2007,David Brinston,35,rap,Southern Soul BBQ Mix,238.173
Candy Land,"""Forever King""",21-04-2011,Tucka,37,rap,Southern Soul BBQ Mix,253.78699999999998
After The Pain,Mother Wit,01-01-1988,Betty Wright,44,rap,Southern Soul BBQ Mix,420.96
I Done Lost My Good Thang,I Done Lost My Good Thang,01-09-2013,Terry Wright,34,rap,Southern Soul BBQ Mix,265.97999999990003
Slow Roll It,Ultimate Southern Soul,26-02-2008,The Love Doctor,36,rap,Southern Soul BBQ Mix,270.18700000000007
Just Can't Let Go,The Best of Sir Charles Jones - For Your Love,10-01-2008,Sir Charles Jones,39,rap,Southern Soul BBQ Mix,280.173
Down Home Blues,Down Home,18-11-1981,Z.Z. Hill,37,rap,Southern Soul BBQ Mix,315.0930000000001
Cotton Candy,Cotton Candy,19-04-2013,Ronnie Bell,37,rap,Southern Soul BBQ Mix,224.94099999999997
If I Back It Up,Wanna Be With You,01-01-2005,Nellie Tiger Travis,35,rap,Southern Soul BBQ Mix,228.987
Ghetto Man,Marvin Sease,01-01-1987,Marvin Sease,34,rap,Southern Soul BBQ Mix,384.1069999999
Sugar Shack (Line Dance Remix) (feat. Mz Jackson),Juke Joint Music,02-04-2012,Bigg Robb,34,rap,Southern Soul BBQ Mix,290.24
I Got This Record,I Got This Record,01-04-2014,Jwonn,0,rap,Southern Soul BBQ Mix,238.5759999999
Running Out Of Lies,Super Hits,1976,Johnnie Taylor,36,rap,Southern Soul BBQ Mix,291.99999999999994
Good Loving Will Make You Cry (Remastered),"Songs People Love the Most, Vol. 1: Deluxe Edition",06-04-2010,Carl Marshall,32,rap,Southern Soul BBQ Mix,352.2800000000001
Taxi,City Slicker,2002,J. Blackfoot,32,rap,Southern Soul BBQ Mix,302.867
Book of Love,Love Rehab 2,14-08-2012,Tucka: King Of Swing,34,rap,Southern Soul BBQ Mix,336.119
For Better or Worse,The Best of Sir Charles Jones - For Your Love,10-01-2008,Sir Charles Jones,36,rap,Southern Soul BBQ Mix,313.827
"Boom, Boom, Boom",Gifted,03-10-2006,Willie Clayton,36,rap,Southern Soul BBQ Mix,240.7469999999
Candy Land Remix,"""Forever King""",21-04-2011,Tucka,28,rap,Southern Soul BBQ Mix,268.9199999999
Tonight Is the Night (Pts. 1&2),The Essentials: Betty Wright,02-07-2002,Betty Wright,41,rap,Southern Soul BBQ Mix,499.3999999999001
I'm Mr. Jody,Candy Licker: The Sex & Soul Of Marvin Sease,1994,Marvin Sease,34,rap,Southern Soul BBQ Mix,430.107
Older Woman (feat. Dellanor & Akilah),Josephine Son Pokey,04-07-2013,Pokey,0,rap,Southern Soul BBQ Mix,305.732
Cheating and Lying,The Hit Maker: 10 Years of Tk Soul,23-10-2012,T.K. Soul,26,rap,Southern Soul BBQ Mix,256.968
Sending You A Kiss,Good Love!,25-02-1997,Johnnie Taylor,37,rap,Southern Soul BBQ Mix,267.307
Soul Music,Soul Music,21-10-2012,Vick Allen,35,rap,Southern Soul BBQ Mix,251.0000000000001
Members Only,Members Only,14-10-1985,"Bobby ""Blue"" Bland",38,rap,Southern Soul BBQ Mix,249.26700000000008
Got No Curfew,Got No Curfew,01-02-2012,Mel Waiters,29,rap,Southern Soul BBQ Mix,232.96099999999998
I'm Looking for a Lady,Life After Love,04-02-2014,T.K. Soul,36,rap,Southern Soul BBQ Mix,255.00799999999995
Sweet Shop,Love Rehab 2,14-08-2012,Tucka: King Of Swing,32,rap,Southern Soul BBQ Mix,334.865
Everything's Out In the Open,In Control,12-06-1988,Johnnie Taylor,34,rap,Southern Soul BBQ Mix,233.667
"No Pain, (No Gain)",Mother Wit,01-01-1988,Betty Wright,45,rap,Southern Soul BBQ Mix,312.8399999999
Touch Your Spot,Groove City,27-03-2014,Tucka,32,rap,Southern Soul BBQ Mix,293.059
Hell at the house,Hell At The House,2003,Omar Cunningham,33,rap,Southern Soul BBQ Mix,277.74700000000007
Wiggle,The Little Giant of Soul,10-01-2006,Willie Clayton,28,rap,Southern Soul BBQ Mix,287.093
"Scat Cat, Here Kitty, Kitty","Here Kitty, Kitty!",13-06-2006,Billy Soul Bonds,32,rap,Southern Soul BBQ Mix,288.32000000000005
Man Enough,A Woman Needs A Strong Man,03-05-2009,Karen Wolfe,34,rap,Southern Soul BBQ Mix,252.467
They Call Me Pokey,They Call Me Pokey,27-04-2013,Pokey,0,rap,Southern Soul BBQ Mix,239.99999999990004
Still My Love,Tighten Up,14-09-2014,Wilson Meadows,31,rap,Southern Soul BBQ Mix,257.987
The Beauty Shop,Time Served,01-01-2008,Omar Cunningham,32,rap,Southern Soul BBQ Mix,288.66699999990004
Bill,Best of Peggy Scott-Adams,25-02-2008,Peggy Scott-Adams,31,rap,Southern Soul BBQ Mix,315.4929999999
Just One Lifetime,Loveaholic,10-10-1997,J. Blackfoot,34,rap,Southern Soul BBQ Mix,325.56
I Believe In You (You Believe In Me),Taylored In Silk (Remastered),1973,Johnnie Taylor,38,rap,Southern Soul BBQ Mix,306.93300000000005
Caught Up in Doing Wrong,Life After Love,04-02-2014,T.K. Soul,32,rap,Southern Soul BBQ Mix,252.36999999990007
Chick On the Side Remix,Love On the Bayou,02-07-2014,The Louisiana Blues Brothas,0,rap,Southern Soul BBQ Mix,275.723
Can I Change My Mind,Can I Change My Mind,1969,Tyrone Davis,38,rap,Southern Soul BBQ Mix,177.73299999999995
Teddy Bear,"Live At Slim's Y Ki Ki, Vol. II",05-07-2014,Keith Frank,29,rap,Southern Soul BBQ Mix,190.84
Slow Rock,Long Live the King,21-07-2016,Tucka,32,rap,Southern Soul BBQ Mix,274.2
Somebody Is Gonna Lose A Good Woman,The Power Is Still On,2002,Jeff Floyd,30,rap,Southern Soul BBQ Mix,301.84
Before I Let Go - Edit/Remastered,Greatest Hits: 35 Years Of Soul,01-01-2011,Maze,46,rap,Southern Soul BBQ Mix,234.707
It Aint Cheating Til You Get Caught,The Hit Maker: 10 Years of Tk Soul,23-10-2012,T.K. Soul,27,rap,Southern Soul BBQ Mix,320.7060000000001
P's & Q's,Reggie P,20-07-2010,Reggie P,0,rap,Southern Soul BBQ Mix,369.37300000000005
Forever Swing (feat. Doug E Fresh),Love Rehab 2,14-08-2012,Tucka: King Of Swing,30,rap,Southern Soul BBQ Mix,327.995
Drinking Again,Drinking Again,01-03-2011,Avail Hollywood,32,rap,Southern Soul BBQ Mix,237.083
Mr. Right or Mr. Wrong,Best of Peggy Scott-Adams,25-02-2008,Peggy Scott-Adams,30,rap,Southern Soul BBQ Mix,237.76
She Made a Freak Out of Me,She Made a Freak Out of Me,2000,"Lee ""Shot"" Williams",23,rap,Southern Soul BBQ Mix,328.32
Woman To Woman,Woman to Woman [Stax Remasters],1974,Shirley Brown,48,rap,Southern Soul BBQ Mix,237.99999999990004
My Sidepiece Reply,My Side Piece: Original Motion Picture Soundtrack,04-03-2016,Various Artists,0,rap,Southern Soul BBQ Mix,247.80000000000004
The Repair Man,Long Live the King,21-07-2016,Tucka,30,rap,Southern Soul BBQ Mix,300.4399999999
Family Reunion Song (feat. Shirley Murdock),Jerri Curl Muzic=(The Latest),20-04-2009,Bigg Robb,26,rap,Southern Soul BBQ Mix,322.347
Down in da Club,Down in da Club,05-07-2007,Jackie Neal,21,rap,Southern Soul BBQ Mix,239.653
Chech to Check,Hell At The House,2003,Omar Cunningham,32,rap,Southern Soul BBQ Mix,247.34700000000004
Impala,Sexy Soul Songs,08-02-2011,LaMorris Williams,30,rap,Southern Soul BBQ Mix,277.293
DNA.,DAMN.,14-04-2017,Kendrick Lamar,79,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",185.947
Look At Me!,Look At Me!,20-02-2017,XXXTENTACION,79,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",126.34600000000002
Moves,I Decided.,03-02-2017,Big Sean,2,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",142.907
First Things First,Gang Signs & Prayer,24-02-2017,Stormzy,57,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",207.739
XO TOUR Llif3,XO TOUR Llif3,24-03-2017,Lil Uzi Vert,11,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",182.7069999999
Mask Off,FUTURE,04-08-2017,Future,46,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",204.6
Jump (feat. Gizzle),DROGAS Light,10-02-2017,Lupe Fiasco,55,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",274.91
Everybody,Everybody,31-03-2017,Logic,46,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",162.373
The Let Out,The Let Out,03-02-2017,Jidenna,44,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",235.66300000000004
Enough,Skin Companion EP II,17-02-2017,Flume,0,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",191.144
Hendrix,J'ouvert (Deluxe Edition),03-02-2017,Wyclef Jean,49,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",207.68400000000003
Dopamine Lit (Intro),DROGAS Light,10-02-2017,Lupe Fiasco,43,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",169.18599999999998
Pull Up,Rich Homie Gang - Hood Lifestyle,09-12-2014,Rich Homie Quan,20,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",236.74799999990003
No Favors,I Decided.,03-02-2017,Big Sean,61,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",325.83999999990004
Bare Tings,Bare Tings,27-02-2017,Blvck O,8,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",212.308
Rent Money,FUTURE,04-08-2017,Future,17,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",265.366
Bounce Back,I Decided.,03-02-2017,Big Sean,76,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",222.36
ROCKABYE BABY (feat. ScHoolboy Q),ALL-AMERIKKKAN BADA$$,07-04-2017,Joey Bada$$,55,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",223.553
Brand New,"TGOD, Vol. 1",16-12-2016,Taylor Gang,47,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",229.026
Treat Me Like Gotti,The Sour Patch Kid,03-03-2017,Brodinski,12,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",206.797
First Day Out,First Day Out,06-01-2017,Tee Grizzley,48,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",254.6939999999
Free Up,Free Up,03-02-2016,Derek Wise,26,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",245.18600000000004
Bullet,The Tour Part 1,08-11-2016,Rich Gang,0,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",242.312
Yeah Yeah (feat. Young Thug),Yeah Yeah (feat. Young Thug),10-02-2017,Travis Scott,0,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",265.31399999999996
"Slime Shit (feat. Yak Gotti, Duke & Peewee Roscoe)",Slime Season 3,25-03-2016,Young Thug,50,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",278.04
Large Bag,Large Bag (feat. Offset & Jadakiss),21-12-2016,Fly Ty,0,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",240.06500000000003
Good Drank 2.0,Good Drank 2.0,06-03-2017,2 Chainz,40,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",247.385
Thank God I Got It,Thank God I Got It,03-04-2017,Desiigner,11,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",348.491
U-RITE,U-RITE,13-01-2017,THEY.,0,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",192.45899999999997
Chief Don't Run,The Chief,17-02-2017,Jidenna,45,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",227.31999999990003
Six Hundred Sixty Six,Six Hundred Sixty Six,30-10-2016,Klone Ambition,22,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",96.7099999999999
Running Man,Running Man,07-10-2016,Rexx Life Raj,33,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",246.71999999990004
Go Round (feat. Lil Yachty),Go Round (feat. Lil Yachty),30-01-2017,Rahmeen,0,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",180.3489999999
Good Drank,Good Drank,20-01-2017,2 Chainz,0,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",225.25299999990003
The Conversation,The Conversation,05-02-2016,Chynna,33,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",198.93900000000002
Disrespectful,Disrespectful,01-03-2017,GASHI,2,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",202.752
Rolex,Rolex,13-01-2017,Ayo & Teo,3,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",238.3789999999
Portland,More Life,18-03-2017,Drake,74,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",236.61500000000004
Gyalchester,More Life,18-03-2017,Drake,70,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",189.2299999999
Can't Have Everything,More Life,18-03-2017,Drake,60,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",228.43799999989997
NEVER,NEVER,16-12-2016,JID,0,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",241.69300000000004
Dick in Da Dope,Council World,02-12-2016,Divine Council,40,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",103.99299999990001
Decemba (Remix),Council World,02-12-2016,Divine Council,40,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",228.55
HUMBLE.,HUMBLE.,31-03-2017,Kendrick Lamar,7,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",177.604
Blessings,Dark Sky Paradise,24-02-2015,Big Sean,66,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",252.04000000000005
Halftime,Barter 6,16-04-2015,Young Thug,56,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",226.7329999999
"Right Now (feat. Future, Fabolous & Jadakiss) - Remix","Right Now (Remix) (feat. Future, Fabolous & Jadakiss)",14-04-2016,Uncle Murda,27,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",224.418
Makaveli,My Color It Is My Strength.3,05-12-2016,DJ Max Star,0,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",294.478
Buddha,Step Brothers,11-04-2017,G-Eazy,44,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",193.227
Old English,Old English,01-07-2014,Young Thug,2,rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",201.96
